😀  grinning (grinning face)
😁  wide grin (grinning face with smiling eyes)
😂  joy (face with tears of joy)
😃  slight smile (smiling face with open mouth)
😄  laugh (smiling face with open mouth and smiling eyes)
😅  phew, sweat smile (smiling face with open mouth and cold sweat)
😆  rofl (smiling face with open mouth and tightly-closed eyes)
😇  innocent (smiling face with halo)
😉  winking (winking face)
😊  happy (smiling face with smiling eyes)
😋  yum (face savouring delicious food)
😌  relief (relieved face)
😍  heart-shaped eyes (smiling face with heart-shaped eyes)
😎  cool (smiling face with sunglasses)
😏  smirk (smirking face)
😐  neutral (neutral face)
😑  expressionless (expressionless face)
😒  unamused (unamused face)
😓  cold sweat (face with cold sweat)
😔  pensive (pensive face)
😕  puzzled (confused face)
😖  distressed (confounded face)
😗  kiss (kissing face)
😘  throwing a kiss (face throwing a kiss)
😙  smooch (kissing face with smiling eyes)
😚  blushing kiss (kissing face with closed eyes)
😛  tongue (face with stuck-out tongue)
😜  winking tongue (face with stuck-out tongue and winking eye)
😝  squinting tongue (face with stuck-out tongue and tightly-closed eyes)
😞  disappointed (disappointed face)
😟  worried (worried face)
😠  angry (angry face)
😡  rage (pouting face)
😢  crying (crying face)
😣  persevering (persevering face)
😤  steam (face with look of triumph)
😥  disappointed relief (disappointed but relieved face)
😦  frowning (frowning face with open mouth)
😧  anguished (anguished face)
😨  fearful (fearful face)
😩  weary (weary face)
😪  sleepy (sleepy face)
😫  tired (tired face)
😬  grimace (grimacing face)
😭  sobbing (loudly crying face)
😮  surprised (face with open mouth)
😯  hushed (hushed face)
😰  anxious sweat (face with open mouth and cold sweat)
😱  screaming (face screaming in fear)
😲  astonished (astonished face)
😳  flushed (flushed face)
😴  sleeping (sleeping face)
😵  dizzy (dizzy face)
😶  no mouth (face without mouth)
😷  mask (face with medical mask)
🙁  slightly frowning (slightly frowning face)
🙂  slightly smiling (slightly smiling face)
🙃  upside down (upside-down face)
🙄  eyeroll (face with rolling eyes)
😸  grinning cat (grinning cat face with smiling eyes)
😹  joyful cat (cat face with tears of joy)
😺  smiling cat (smiling cat face with open mouth)
😻  heart-eyed cat (smiling cat face with heart-shaped eyes)
😼  wry cat (cat face with wry smile)
😽  kissing cat (kissing cat face with closed eyes)
😾  grumpy cat (pouting cat face)
😿  sad cat (crying cat face)
🙀  shocked cat (weary cat face)
👿  imp
😈  smiling imp (smiling face with horns)
🙅  no gesture (face with no good gesture)
🙆  ok gesture (face with ok gesture)
🙇  bow (person bowing deeply)
🙈  see no evil (see-no-evil monkey)
🙉  hear no evil (hear-no-evil monkey)
🙊  speak no evil (speak-no-evil monkey)
🙋  raising hand (happy person raising one hand)
🙌  celebration (person raising both hands in celebration)
🙍  frowning (person frowning)
🙎  pouting (person with pouting face)
🙏  pray (person with folded hands)
🌀  cyclone
🌁  foggy
🌂  closed umbrella
🌃  night with stars
🌄  sunrise over mountains
🌅  sunrise
🌆  cityscape at dusk
🌇  sunset over buildings
🌈  pride (rainbow)
🌉  bridge at night
🌊  wave (water wave)
🌋  volcano (volcano)
🌌  milky way
🌍  earth globe europe-africa
🌎  earth globe americas
🌏  earth globe asia-australia
🌐  globe with meridians
🌑  new moon symbol
🌒  waxing crescent moon symbol
🌓  first quarter moon symbol
🌔  waxing gibbous moon symbol
🌕  full moon symbol
🌖  waning gibbous moon symbol
🌗  last quarter moon symbol
🌘  waning crescent moon symbol
🌙  crescent (crescent moon)
🌚  dark moon (new moon with face)
🌛  first quarter moon with face
🌜  last quarter moon with face
🌝  night (full moon with face)
🌞  sun face (sun with face)
🌟  glowing star (glowing star)
🌠  shooting star (shooting star)
🌡  thermometer
🌢  black droplet
🌣  white sun
🌤  white sun with small cloud
🌥  white sun behind cloud
🌦  white sun behind cloud with rain
🌧  rain cloud (cloud with rain)
🌨  cloud with snow
🌩  cloud with lightning
🌪  tornado (cloud with tornado)
🌫  fog (fog)
🌬  wind face (wind blowing face)
🌭  hot dog
🌮  mexican (taco)
🌯  burrito (burrito)
🌰  chestnut
🌱  seedling (seedling)
🌲  evergreen (evergreen tree)
🌳  deciduous tree (deciduous tree)
🌴  palm tree (palm tree)
🌵  cactus (cactus)
🌶  hot pepper
🌷  tulip (tulip)
🌸  cherry blossom (cherry blossom)
🌹  rose (rose)
🌺  hibiscus (hibiscus)
🌻  summer (sunflower)
🌼  blossom (blossom)
🌽  ear of maize
🌾  ear of rice
🌿  herb
🍀  four leaf clover (four leaf clover)
🍁  maple leaf (maple leaf)
🍂  fallen leaf (fallen leaf)
🍃  leaf (leaf fluttering in wind)
🍄  mushroom (mushroom)
🍅  tomato
🍆  aubergine
🍇  grapes (grapes)
🍈  melon
🍉  watermelon (watermelon)
🍊  tangerine (tangerine)
🍋  lemon (lemon)
🍌  banana (banana)
🍍  pineapple (pineapple)
🍎  fruit (red apple)
🍏  green apple
🍐  pear
🍑  peach (peach)
🍒  cherries (cherries)
🍓  strawberry (strawberry)
🍔  burger (hamburger)
🍕  pizza (slice of pizza)
🍖  meat on bone
🍗  poultry leg
🍘  rice cracker
🍙  rice ball
🍚  cooked rice
🍛  curry and rice
🍜  ramen (steaming bowl)
🍝  spaghetti
🍞  bread
🍟  fast food (french fries)
🍠  roasted sweet potato
🍡  dango
🍢  oden
🍣  sushi (sushi)
🍤  fried shrimp
🍥  fish cake with swirl design
🍦  soft serve (soft ice cream)
🍧  shaved ice
🍨  ice cream
🍩  donut (doughnut)
🍪  cookie (cookie)
🍫  chocolate (chocolate bar)
🍬  candy (candy)
🍭  lollipop (lollipop)
🍮  custard
🍯  honey pot (honey pot)
🍰  cake slice (shortcake)
🍱  bento box
🍲  pot of food
🍳  cooking
🍴  fork and knife
🍵  tea (teacup without handle)
🍶  sake bottle and cup
🍷  wine (wine glass)
🍸  cocktail glass
🍹  tropical drink
🍺  beer (beer mug)
🍻  cheers (clinking beer mugs)
🍼  baby bottle
🍽  fork and knife with plate
🍾  champagne (bottle with popping cork)
🍿  popcorn
🎀  ribbon
🎁  gift (wrapped present)
🎂  birthday cake (birthday cake)
🎃  jack-o-lantern (jack-o-lantern)
🎄  christmas tree (christmas tree)
